character_id,url_id,name_ja,name_en,reading_ja,epithet_ja,epithet_en,appearance_image,debut_work_id,ability_ja,ability_en,theme_song_ids
C001,yaya,双結八耶,Futayui Yaya,ふたゆい やや,割れた鏡の救世主,Savior of the Broken Mirror,assets/images/characters/yaya.png,P001,均衡をあらわす能力,Ability: Embodies balance,M010
C002,kotone,上白川琴音,Kamishirakawa Kotone,かみしらかわ ことね,並外れた琴の天才,Extraordinary Koto Genius,,P001,,,
C003,natano,鶴城なた乃,Tsurushiro Natano,つるしろ なたの,絶たれた夢の修復士,Restorer of Severed Dreams,assets/images/characters/natano.png,P001,やり直しをあらわす能力,Ability: Embodies starting over,M003
C004,oka,猪民桜花,Inotami Ōka,いのたみ おうか,廃れた都の生き字引,Living Chronicle of the Forsaken Capital,,P001,境目をあらわす能力,Ability: Embodies boundaries,M005
C005,ayane,上白川文音,Kamishirakawa Ayane,かみしらかわ あやね,並外れた文の秀才,Extraordinary Literary Scholar,,P001,仕方無く必要な物語をあらわす能力,Ability: Embodies stories that must be told,
C006,allen,アレン・ハーグリーヴズ,Allen Hargreaves,,引き継がれた本の虫,Bookworm of the Inherited Passion,,P001,最も必要な書物をあらわす能力,Ability: Embodies the most necessary book,M007
C007,reya,双結零夜,Futayui Rēya,ふたゆい れいや,割れた鏡の仲介人,Mediator of the Broken Mirror,,P001,架け橋をあらわす能力,Ability: Embodies a bridge,M009
C008,chihaya,稚早,Chihaya,ちはや,見込まれた単の用心棒,Favored Bodyguard of Hitoe,,P001,疾風をあらわす能力,Ability: Embodies the swift wind,M012
C009,kasane,御虹重,Mikō Kasane,みこう かさね,選ばれた桜の君,Chosen Lady of Cherry,,P001,光をあらわす能力,Ability: Embodies light,M014
C010,hitoe,御虹単,Mikō Hitoe,みこう ひとえ,隠れた橘の君,Hidden Lady of Citrus,,P001,策略をあらわす能力,Ability: Embodies strategy,M016
C011,komomo,藤原香桃,Fujiwara Komomo,ふじわら こもも,,,,P002,,,M021
C012,midori,有手翠,Usu Midori,うす みどり,,,,P002,,,M023
C013,noah,ノア・アララト,Noah Ararat,,,,,P002,方舟をあらわす能力,Ability: Embodies the Ark,M025
C014,magiamalia,メガイアマリア・イオニア,Magiamalia Ionia,,,,,P002,黒魔術をあらわす能力,Ability: Embodies black magic,M027
C015,yae,櫛稲宮やえ,Kushinamiya no Yae,くしなみや の やえ,,,,P002,信仰をあらわす能力,Ability: Embodies faith,M029
C016,shoka,深韴傷瑕,Mifutsu Shōka,みふつ しょうか,,,,P002,瑕をあらわす能力,Ability: Embodies the flaw,M031
C017,eftychia,エフティヒア・イオニア,Eftychia Ionia,,,,,P002,生命力をあらわす能力,Ability: Embodies vitality,M033
C018,mnimi,ムニミ・ムネモシュネ,Mnimi Mnemosyne,,,,,P003,記憶をあらわす能力,Ability: Embodies memory,"M037, M045"
C019,asuka,時任明日香,Tokitō Asuka,ときとう あすか,,,,P003,伝承をあらわす能力,Ability: Embodies tradition,
C020,koharu,時任小春,Tokitō Koharu,ときとう こはる,,,,P003,忘却をあらわす能力,Ability: Embodies forgetting,
C021,nami,石凝宮なみ,Ishikorimiya no Nami,いしこりみや の なみ,,,,P004,鏡をあらわす能力,Ability: Embodies the mirror,M043
C022,hinari,篁日菜里,Takamura Hinari,たかむら ひなり,,,,P004,通路をあらわす能力,Ability: Embodies a passageway,M047
C023,asumi,傘崎亞澄,Kasazaki Asumi,かさざき あすみ,,,,P004,,,
C024,tomoka,瑞兆智香,Zuichō Tomoka,ずいちょう ともか,,,,P004,,,
C025,sanami,珠守佐波,Tamamori Sanami,たまもり さなみ,,,,P004,,,
C026,meno,玉祖宮めの,Tamaoyamiya no Meno,たまおやみや の めの,,,,P004,珠玉をあらわす能力,Ability: Embodies the jewel,
