character_id,url_id,name_ja,name_en,reading_ja,epithet_ja,epithet_en,appearance_image,debut_work_id,ability_ja,ability_en,ability_detail_ja,ability_detail_en,position_ja,position_en,profile_ja,profile_en,theme_song_ids,appearance_work_ids
C001,yaya,双結八耶,Futayui Yaya,ふたゆい やや,割れた鏡の救世主,Savior of the Broken Mirror,,P001,均衡をあらわす,Embodies balance,,,,上白川学園・中等部2年生,Second-Year Student at Kamishirakawa Academy Middle School,,,M010,"P001, P002, P003, P004"
C002,kotone,上白川琴音,Kamishirakawa Kotone,かみしらかわ ことね,並外れた琴の天才,Extraordinary Koto Genius,,P001,,,,,上白川学園・中等部2年生,Second-Year Student at Kamishirakawa Academy Middle School,,,,P001
C003,natano,鶴城なた乃,Tsurushiro Natano,つるしろ なたの,絶たれた夢の修復士,Restorer of Severed Dreams,,P001,やり直しをあらわす,Embodies starting over,,,,,,M003,"P001, P002, P003"
C004,oka,猪民桜花,Inotami Oka,いのたみ おうか,廃れた都の生き字引,Living Chronicle of the Forsaken Capital,,P001,境目をあらわす,Embodies boundaries,,,鴨草京天照宮復都特命室・室長,Head of the Special Mission Office for the Restoration of Kamokusa-kyō at Tenshōgū,,,M005,"P001, P003"
C005,ayane,上白川文音,Kamishirakawa Ayane,かみしらかわ あやね,並外れた文の秀才,Extraordinary Literary Scholar,,P001,仕方無く必要な物語をあらわす,Embodies stories that must be told,,,上白川文庫・秘書,Secretary at Kamishirakawa Bunko,,,M007,"P001, P003"
C006,allen,アレン・ハーグリーヴズ,Allen Hargreaves,,引き継がれた本の虫,Bookworm of the Inherited Passion,,P001,最も必要な書物をあらわす,Embodies the most necessary book,,,上白川文庫・館長,Director of Kamishirakawa Bunko,,,M007,"P001, P003"
C007,reya,双結零夜,Futayui Rēya,ふたゆい れいや,割れた鏡の仲介人,Mediator of the Broken Mirror,,P001,架け橋をあらわす,Embodies a bridge,,,,,,,M009,"P001, P002, P003, P004"
C008,chihaya,稚早,Chihaya,ちはや,見込まれた単の用心棒,Favored Bodyguard of Hitoe,,P001,疾風をあらわす,Embodies the swift wind,,,鴨草京警備局・御虹警備,Mikō Security, Kamokusa-kyō Security Bureau,,,M012,"P001, P003"
C009,kasane,御虹重,Mikō Kasane,みこう かさね,選ばれた桜の君,Chosen Lady of Cherry,,P001,光をあらわす,Embodies light,,,鴨草京天照宮紫宸殿・関白,Kanpaku of the Shishinden at Tenshōgū in Kamokusa-kyō,,,M014,"P001, P002, P003, P004"
C010,hitoe,御虹単,Mikō Hitoe,みこう ひとえ,隠れた橘の君,Hidden Lady of Citrus,,P001,策略をあらわす,Embodies strategy,,,鴨草京天照宮清涼殿・太閤,Taikō of the Seiryōden at Tenshōgū in Kamokusa-kyō,,,M016,"P001, P002, P003"
C011,komomo,藤原香桃,Fujiwara Komomo,ふじわら こもも,,,,P002,,,,,,,,,,M021,"P002, P003"
C012,midori,有手翠,Usu Midori,うす みどり,,,,P002,,,,,,,,,,M023,"P002, P003"
C013,noah,ノア・アララト,Noah Ararat,,,,,P002,方舟をあらわす,Embodies the Ark,,,,,,,,M025,"P002, P003"
C014,magiamalia,メガイアマリア・イオニア,Magiamalia Ionia,,,,,P002,黒魔術をあらわす,Embodies black magic,,,イオニア会,Ionian Order,,,M027,"P002, P003"
C015,yae,櫛稲宮やえ,Kushinamiya no Yae,くしなみや の やえ,,,,P002,信仰をあらわす,Embodies faith,,,深韴神宮・巫女神,Divine Miko of Mifutsu Jingū,,,M029,"P002, P003"
C016,shoka,深韴傷瑕,Mifutsu Shōka,みふつ しょうか,,,,P002,瑕をあらわす,Embodies the flaw,,,深韴神宮・祭神,Enshrined Deity of Mifutsu Jingū,,,M031,"P002, P003"
C017,eftychia,エフティヒア・イオニア,Eftychia Ionia,,,,,P002,生命力をあらわす,Embodies vitality,,,イオニア会,Ionian Order,,,M033,"P002, P003"
C018,mnimi,ムニミ・ムネモシュネ,Mnimi Mnemosyne,,,,,P003,記憶をあらわす,Embodies memory,,,,,,,"M037, M045","P003, P004"
C019,asuka,時任明日香,Tokitō Asuka,ときとう あすか,,,,P003,伝承をあらわす,Embodies tradition,,,,,,,,P003
C020,koharu,時任小春,Tokitō Koharu,ときとう こはる,,,,P003,忘却をあらわす,Embodies forgetting,,,,,,,,P003
C021,nami,石凝宮なみ,Ishikorimiya no Nami,いしこりみや の なみ,,,,P004,鏡をあらわす,Embodies the mirror,,,,,,,M043,P004
C022,hinari,篁日菜里,Takamura Hinari,たかむら ひなり,,,,P004,通路をあらわす,Embodies a passageway,,,神湖水道局難波疏水管理部,Naniwa Canal Management Division, Jingo Waterworks Bureau,,,M047,P004
C023,asumi,傘崎亞澄,Kasazaki Asumi,かさざき あすみ,,,,P004,,,,,,,,,,P004
C024,tomoka,瑞兆智香,Zuichō Tomoka,ずいちょう ともか,,,,P004,,,,,神湖水道局難波疏水管理部・部長,"Director of the Naniwa Canal Management Division, Jingo Waterworks Bureau",,,,P004
C025,sanami,珠守佐波,Tamamori Sanami,たまもり さなみ,,,,P004,,,,,神湖水道局・局長,Director-General of the Jingo Waterworks Bureau,,,,P004
C026,meno,玉祖宮めの,Tamaoyamiya no Meno,たまおやみや の めの,,,,P004,珠玉をあらわす,Embodies the jewel,,,玉造神明社・祭神,Enshrined Deity of Tamatsukuri Shinmei Shrine,,,,P004
